sh4;cnae_prefix;nota
2816;2011;Peróxidos
2817;2011;Fósforo branco
2818;2011;Arsênio
2819;2011;Óxidos de cromo
2820;2011;Dióxido de manganês
2821;2011;Óxidos de ferro
2822;2011;Cobalto
2823;2011;Titânio
2824;2011;Chumbo
2825;2011;Hidrazina
2826;2011;Fluorides
2827;2011;Cloretos
2828;2011;Hipoclorito
2829;2011;Percloratos
2830;2011;Sulfatos
2831;2011;Ditionitos
2832;2011;Sulfitos
2833;2011;Alumínio sulfato
2834;2011;Nitritos
2835;2011;Fosfinatos
2836;2011;Carbonatos
2837;2011;Cianetos
2838;2011;Silicatos
2839;2011;Metais alcalinos
2840;2011;Peróxidos de boro
2841;2011;Sal de mesa
2842;2011;Terra rara
2843;2011;Urânio empobrecido
2844;2011;Elementos radioativos
2845;2011;Água pesada
2846;2011;Compostos de mercúrio
2847;2011;Peróxido de hidrogênio
2848;2011;Fosfeto
2849;2011;Carbeto de cálcio
2850;2011;Hidretos
2851;2011;Compostos inorgânicos diversos
2852;2011;Mercúrio
2853;2011;Fósforo
2901;2013;Hidrocarbonetos acíclicos
2902;2013;Benzeno
2903;2013;Hidrocarbonetos cíclicos
2904;2013;Derivados de hidrocarbonetos
2905;2013;Derivados acíclicos halogenados
2906;2013;Derivados aromáticos
2907;2013;Fenóis
2908;2013;Derivados de fenóis
2909;2013;Éteres
2910;2013;Epóxidos
2911;2013;Acetais
2912;2013;Aldeídos cíclicos
2913;2013;Halogenados de carbonila
2914;2013;Cetonas
2915;2013;Ácidos saturados
2916;2013;Ácidos insaturados
2917;2013;Anidridos polibásicos
2918;2013;Derivados de ácidos
2919;2013;Fosfatos de tris
2920;2013;Ésteres de fosfato
2921;2013;Compostos aminados
2922;2013;Aminoácidos
2923;2013;Quaternários de amônio
2924;2013;Carboximidas
2925;2013;Carboximidas cíclicas
2926;2013;Nitrilas
2927;2013;Reagentes diazo
2928;2013;Derivados de metais
2929;2013;Outros compostos orgânicos
2930;2111;Compostos organo-sulfurados — química fina
2931;2111;Compostos organo-inorgânicos
2932;2111;Heterocíclicos com oxigênio
2933;2111;Heterocíclicos com nitrogênio
2934;2111;Nucleosídeos
2935;2111;Sulfonamidas
2936;2111;Provitaminas e vitaminas
2937;2111;Hormônios
2938;2111;Glicosídeos
2939;2111;Alcaloides
2940;2111;Derivados de química fina
2941;2111;Antibióticos
2942;2013;Outros orgânicos
3001;2121;Órgãos e suas partes — medicamentos
3002;2121;Sangue humano / imunológicos
3003;2121;Medicamentos misturados
3004;2121;Medicamentos em dose — farmo
3005;2121;Ataduras e gazes
3006;2121;Preparações farmacêuticas
3101;2012;Adubos minerais — fertilizantes
3102;2012;Adubos nitrogenados
3103;2012;Adubos fosfatados
3104;2012;Adubos potássicos
3105;2012;Adubos compostos
3201;2011;Matérias corantes
3202;2011;Taninos
3203;2011;Pigmentos
3204;2011;Lacas
3205;2011;Preparações corantes
3206;2011;Pigmentos inorgânicos
3207;2011;Vidros preparados
3208;2011;Tintas à base de pigmentos
3209;2011;Tintas à base de polímeros
3210;2011;Tintas à base de solvente
3211;2011;Tintas secagem
3212;2011;Pigmentos para artistas
3213;2011;Mastiques e tintas
3214;2011;Giz e lápis
3215;2011;Tinta impressão
3301;2042;Óleos essenciais — cosmética
3302;2042;Preparações odoríferas
3303;2042;Perfumes
3304;2042;Cosméticos e maquiagem
3305;2042;Preparações capilares
3306;2042;Higiene bucal
3307;2042;Barbear
3401;2041;Sabões — higiene
3402;2041;Preparações orgânicas de superfície
3403;2041;Lubrificantes
3404;2041;Ceras artificiais
3405;2041;Velas
3406;2041;Pastas dentais
3407;2041;Pastas modelar
3501;2013;Caseína
3502;2013;Albuminas
3503;2013;Gelatina
3504;2013;Peptonas
3505;2013;Dextrinas
3506;2013;Preparações para colagem
3507;2013;Enzimas
3801;2011;Grafite artificial
3802;2011;Carvão ativado
3803;2013;Ácidos graxos industriais
3804;2013;Glicerol residual
3805;2011;Esperites
3806;2011;Óleos de desengordurar
3807;2011;Álcoois de madeira
3808;2013;Inseticidas e fungicidas
3809;2011;Aprestos têxteis
3810;2011;Aceleradores de vulcanização
3811;2011;Líquidos anti-detonação
3812;2011;Catalisadores preparados
3813;2011;Explosivos preparados
3814;2011;Solventes e diluentes
3815;2011;Iniciadores de reação
3816;2011;Cimentos e argamassas refratários
3817;2011;Misturas alcalinas
3818;2011;Elementos químicos dopados
3819;2011;Fluidos para freios
3820;2011;Meios de cultura
3821;2011;Meios para diagnóstico
3822;2011;Reagentes de laboratório
3823;2011;Carvão industrial
3824;2011;Preparações para ligas
3825;2011;Resíduos de indústria química
3826;2011;Biodiesel e misturas
3827;2011;Misturas contendo PCB
3901;2221;Polímeros de etileno — plásticos
3902;2221;Polímeros de propileno
3903;2221;Poliestireno
3904;2221;PVC
3905;2221;Acetatos de vinila
3906;2221;Acrílicos
3907;2221;Poliacetais
3908;2221;Poliamidas
3909;2221;Resinas de ureia
3910;2221;Silicones
3911;2221;Petróleo resinas
3912;2221;Celulose regenerada
3913;2221;Polímeros naturais modificados
3914;2221;Trocadores de íons
3915;2221;Desperdícios de plástico
3916;2221;Monofilamentos
3917;2221;Tubos de plástico rígido
3918;2221;Revestimentos de piso
3919;2221;Colas e pastas
3920;2221;Filmes de plástico
3921;2221;Chapas de plástico
3922;2221;Banheiras e pias plásticas
3923;2221;Artigos de transporte plástico
3924;2221;Louça de mesa plástica
3925;2221;Construções plásticas
3926;2221;Outros artigos de plástico
4001;2211;Látex natural — borracha
4002;2211;Borracha sintética
4003;2211;Borracha regenerada
4004;2211;Desperdícios de borracha
4005;2211;Borracha mista
4006;2211;Formas de borracha
4007;2211;Fios de borracha vulcanizada
4008;2211;Placas de borracha celular
4009;2211;Tubos de borracha não endurecida
4010;2211;Correias transportadoras
4011;2211;Pneus novos
4012;2211;Pneus recauchutados
4013;2211;Câmaras de ar
4014;2211;Artigos de higiene de borracha
4015;2211;Roupa de borracha
4016;2211;Outros artigos de borracha
4017;2211;Borracha endurecida
4101;1510;Couros crus
4102;1510;Couros curtidos
4103;1510;Couros reconstituídos
4104;1510;Parapartes de couro
4105;1510;Desperdícios de couro
4106;1510;Couros pré-curtidos
4107;1510;Couros de répteis
4201;1529;Selas e arreios
4202;1529;Malas e bolsas
4203;1529;Vestuário de couro
4204;1529;Outros artigos de couro
4205;1529;Artigos de couro para máquinas
4206;1529;Desperdícios de couro trabalhado
4301;1529;Peles com pelo
4302;1529;Peles curtidas
4303;1529;Vestuário de pele
4304;1529;Peles artificiais
4401;1610;Lenha e toras — madeira
4402;1610;Carvão vegetal
4403;1610;Madeira serrada
4404;1610;Folhas para folheados
4405;1610;Lã de madeira
4406;1610;Travessas de madeira
4407;1610;Madeira serrada (folhosas)
4408;1610;Madeira serrada (coníferas)
4409;1610;Madeira para parquet
4410;1621;Painéis OSB / aglomerados — madeira
4411;1621;Painéis de fibras — madeira
4412;1621;Madeira contraplacada
4413;1621;Madeira densificada
4414;1621;Molduras de madeira
4415;1621;Embalagens de madeira
4416;1621;Obras de carpintaria
4417;1621;Ferramentas de cabo de madeira
4418;1621;Construções de madeira
4419;1621;Artigos de mesa de madeira
4420;1621;Obras de marchetaria
4421;1621;Outras obras de madeira
4501;0899;Marfim e ossos
4502;0899;Coral e conchas
4503;0899;Galantite
4504;0899;Desperdícios de penas
4601;1629;Obras de vime — artesanato
4602;1629;Obras de matérias têxteis vegetais
4701;1710;Pastas de celulose — papel
4702;1710;Papel reciclado
4703;1710;Papel Kraft cru
4704;1710;Papel Kraft branqueado
4705;1710;Papel semiquímico
4706;1710;Pastas de fibras recuperadas
4707;1710;Recortes de papel
4801;1710;Papel notícia
4802;1710;Papel escrita
4803;1710;Papel higiênico
4804;1710;Papel Kraft sacos
4805;1710;Outros papéis não revestidos
4806;1710;Papel vegetal
4807;1710;Papel ondulado
4808;1710;Papel ondulado multicamadas
4809;1710;Papel carbono
4810;1710;Papel revestido
4811;1710;Papel gesso
4812;1710;Blocos de papel
4813;1710;Papel cigarro
4814;1710;Papel wallpaper
4815;1710;Papel carbono duplicador
4816;1710;Papel tissue
4817;1710;Caixas de papelão
4818;1710;Sanitários de papel
4819;1710;Recipientes de papel
4820;1710;Cadernos
4821;1710;Etiquetas de papel
4822;1710;Bobinas para máquinas
4823;1710;Outros papéis cortados
4901;1811;Livros e brochuras — editoração
4902;1811;Jornais
4903;1811;Ilustrados infantis
4904;1811;Música impressa
4905;1811;Mapas
4906;1811;Planos
4907;1811;Selos e timbres
4908;1811;Decalques
4909;1811;Cartões-postais
4910;1811;Calendários
4911;1811;Material publicitário
5001;1354;Sedas — têxtil
5002;1354;Desperdícios de seda
5003;1354;Seda não cardada
5004;1354;Fios de seda
5005;1354;Fios de desperdício de seda
5006;1354;Tecidos de seda
5007;1354;Tecidos mistos seda
5101;1351;Lã cardada
5102;1351;Lã penteado
5103;1351;Desperdícios de lã
5104;1351;Fios de lã cardada
5105;1351;Fios de lã penteado
5106;1351;Fios de pelo fino
5107;1351;Tecidos de lã cardada
5108;1351;Tecidos de lã penteado
5109;1351;Tecidos de pelo fino
5110;1351;Tecidos de pelo grosso
5111;1351;Tecidos de algodão <85%
5112;1351;Tecidos de algodão >85%
5113;1351;Tecidos de fibras sintéticas
5201;1352;Algodão não cardado
5202;1352;Algodão penteado
5203;1352;Desperdício de algodão
5204;1352;Fios de algodão costura
5205;1352;Fios de algodão retalho
5206;1352;Fios de algodão simples
5207;1352;Fios de algodão múltiplos
5208;1352;Fios de algodão retorcido
5209;1352;Fios de algodão especial
5210;1352;Fios de algodão retalho penteado
5211;1352;Tecidos de algodão <85% <200g
5212;1352;Tecidos de algodão >85% <200g
5301;1353;Linho em bruto
5302;1353;Linho trabalhado
5303;1353;Juta e fibras têxteis
5304;1353;Fios de linho
5305;1353;Fios de juta
5306;1353;Tecidos de linho
5307;1353;Tecidos de juta
5308;1353;Tecidos de fibras têxteis
5309;1353;Tecidos de linho misto
5310;1353;Tecidos de juta misto
5311;1353;Tecidos de fibras vegetais
5401;1354;Monofilamento sintético
5402;1354;Fios sintéticos costura
5403;1354;Fios artificiais texturizados
5404;1354;Fios sintéticos monofilamento
5405;1354;Fios artificiais
5406;1354;Fios sintéticos múltiplos
5407;1354;Fios sintéticos retorcidos
5408;1354;Fios artificiais retorcidos
5501;1354;Fibras descontínuas sintéticas
5502;1354;Fibras descontínuas artificiais
5503;1354;Fibras sintéticas não cardadas
5504;1354;Fibras artificiais não cardadas
5505;1354;Desperdício de fibras sintéticas
5506;1354;Fios de nailon
5507;1354;Outros fios sintéticos
5508;1354;Fios de viscose
5509;1354;Fios mistos sintéticos
5510;1354;Fios de poliéster
5511;1354;Tecidos de fibras sintéticas
5512;1354;Tecidos de fibras artificiais
5513;1354;Tecidos de poliéster
5514;1354;Tecidos de nailon
5515;1354;Outros tecidos sintéticos
5516;1354;Fios de fibras artificiais
5601;1354;Pastas de feltro
5602;1354;Feltro
5603;1354;Nonwoven
5604;1354;Cordas de borracha
5605;1354;Metálico com plástico
5606;1354;Fios revestidos
5607;1354;Cordas e cordéis
5608;1354;Redes
5609;1354;Artigos de cordoaria
5701;1354;Tapetes de nó
5702;1354;Tapetes tecidos
5703;1354;Tapetes tufting
5704;1354;Tapetes de feltro
5705;1354;Outros tapetes
5801;1354;Tecidos de veludo
5802;1354;Tecidos de renda
5803;1354;Tecidos de gaze
5804;1354;Tules
5805;1354;Tecidos ornamentados
5806;1354;Fitas estreitas
5807;1354;Etiquetas tecidas
5808;1354;Bordados em peça
5809;1354;Tecidos de metal
5810;1354;Bordados
5811;1354;Quilts têxteis
5901;1354;Tecidos impregnados
5902;1354;Tyre cord
5903;1354;Tecidos plastificados
5904;1354;Linóleo
5905;1354;Paredes têxteis
5906;1354;Fitas adesivas
5907;1354;Outros tecidos revestidos
5908;1354;Discos de tecido
5909;1354;Mangueiras têxteis
5910;1354;Correias transportadoras têxteis
5911;1354;Artigos têxteis para uso técnico
6001;1351;Malhas de algodão
6002;1351;Malhas de fibras sintéticas
6003;1351;Malhas de fibras artificiais
6004;1351;Malhas de lã
6005;1351;Outras malhas
6006;1351;Malhas largas
6101;1410;Casacos de malha
6102;1410;Casacos não malha
6103;1410;Conjuntos têxteis
6104;1410;Camisetas malha
6105;1410;Camisas não malha
6106;1410;Calcas bermudas
6107;1410;Saias
6108;1410;Combinações
6109;1410;Camisetas algodão
6110;1410;Jerseys
6111;1410;Trajes de banho
6112;1410;Roupa esportiva
6113;1410;Roupa confeccionada malha
6114;1410;Outros vestuários malha
6115;1410;Meias e meias-calça
6116;1410;Luvas malha
6117;1410;Outros acessórios malha
6201;1410;Casacos impermeáveis
6202;1410;Casacos acolchoados
6203;1410;Ternos masculinos
6204;1410;Ternos femininos
6205;1410;Camisas masculinas
6206;1410;Blusas femininas
6207;1410;Cuecas e camisolas
6208;1410;Camisolas e pijamas
6209;1410;Bebês e crianças
6210;1410;Vestuário descartável
6211;1410;Trajes esqui
6212;1410;Sutiãs
6213;1410;Lenços
6214;1410;Xales e echarpes
6215;1410;Gravatas e lenços
6216;1410;Luvas não malha
6217;1410;Outros acessórios vestuário
6301;1410;Cobertores
6302;1410;Roupa de cama
6303;1410;Cortinas
6304;1410;Outros artigos têxteis
6305;1410;Sacos de embalagem
6306;1410;Lonas e toldos
6307;1410;Outras obras confeccionadas
6308;1410;Kits de costura
6309;1410;Vestuário usado
6310;1410;Textis usados
6401;1533;Calçados impermeáveis
6402;1533;Calçados esportivos
6403;1533;Calçados couro
6404;1533;Calçados sintético
6405;1533;Outros calçados
6406;1533;Partes de calçados
6501;3292;Chapéus e toucas
6502;3292;Chapéus de palha
6503;3292;Chapéus de feltro
6504;3292;Chapéus de malha
6505;3292;Chapéus de outros materiais
6506;3292;Outros chapéus
6507;3292;Capas de chapéu
6601;3299;Guarda-chuvas
6602;3299;Bengalas
6603;3299;Armações guarda-chuva
6701;1399;Penas preparadas
6702;1399;Flores artificiais
6703;1399;Cabelo humano
6704;1399;Perucas
6801;2394;Pedras naturais trabalhadas
6802;2394;Pedras artificiais
6803;2394;Ardósia natural
6804;0810;Mós e rebolos
6805;0810;Abrasivos naturais
6806;2394;Lã de rocha
6807;2394;Misturas asfálticas
6808;2394;Painéis de fibrocimento
6809;2394;Obras de gesso
6810;2394;Cimento, concreto
6811;2394;Obras de amianto-cimento
6812;2394;Fibra de carbono
6813;2394;Fragmentos de pedra
6814;2394;Mica trabalhada
6815;2394;Obras de pedra diversas
6901;2342;Tijolos refratários
6902;2342;Refratários cerâmicos
6903;2341;Tijolos telhas cerâmicos
6904;2341;Ladrilhos cerâmicos
6905;2341;Telhas cerâmicas
6906;2341;Tubos cerâmicos
6907;2341;Peças cerâmicas esmaltadas
6908;2341;Painéis cerâmicos
6909;2341;Vasos cerâmicos
6910;2341;Pias e lavatórios
6911;2341;Louça de mesa
6912;2341;Artigos sanitários cerâmicos
6913;2341;Estátuas cerâmicas
6914;2341;Outras obras cerâmicas
7001;2319;Vidro em bloco
7002;2319;Vidro em bola
7003;2319;Vidro fundido
7004;2319;Vidro despolido
7005;2319;Vidro flotado
7006;2319;Vidro temperado
7007;2319;Vidro laminado
7008;2319;Vidro isolante
7009;2319;Espelhos
7010;2319;Garrafas de vidro
7011;2319;Ampolas de vidro
7013;2319;Objetos de vidro doméstico
7014;2319;Fibra de vidro
7015;2319;Relógios de vidro
7016;2319;Pedras de vidro
7017;2319;Laboratório de vidro
7018;2319;Bijuteria de vidro
7019;2319;Outras obras de vidro
7101;3211;Pérolas naturais — joias
7102;3211;Diamantes
7103;3211;Pedras preciosas brutas
7104;3211;Pedras sintéticas
7105;3211;Pó de diamante
7106;3211;Prata em barras
7107;3211;Metais preciosos laminados
7108;3211;Moedas
7109;3211;Joias de prata
7110;3211;Joias de ouro
7111;3211;Joias de platina
7112;3211;Artigos de ourivesaria
7113;3211;Artigos de bijuteria
7114;3211;Artigos de prata
7115;3211;Relógios de metal precioso
7116;3211;Artigos de ourivesaria diversos
7117;3211;Bijuteria comum
7118;3211;Moedas falsas coleção
7201;2411;Ligas ferrosas primárias
7202;2411;Ferro-ligas
7203;2411;Produtos ferrosos esponjosos
7204;2411;Desperdícios de ferro
7205;2411;Grânulos de ferro
7206;2411;Ferro e aço em lingotes
7207;2411;Semi-acabados de ferro
7208;2411;Chapas laminadas a quente
7209;2411;Chapas laminadas a frio
7210;2411;Chapas galvanizadas
7211;2411;Chapas finas revestidas
7212;2411;Chapas enroladas
7213;2411;Barras de ferro
7214;2411;Barras forjadas
7215;2411;Fios de ferro
7216;2411;Perfis de ferro
7217;2411;Fios de aço inoxidável
7218;2411;Semi-inox
7219;2411;Chapas inox
7220;2411;Chapas inox laminadas a frio
7221;2411;Barras inox
7222;2411;Perfis inox
7223;2411;Fios inox
7224;2411;Outros semi-inox
7225;2411;Outras ligas de aço
7226;2411;Chapas de silício
7227;2411;Barras de silício
7228;2411;Outros produtos de aço
7229;2411;Fios de outras ligas
7301;2421;Tubos de ferro fundido
7302;2421;Trilhos de ferro
7303;2421;Tubos sem costura
7304;2421;Tubos soldados
7305;2421;Outros tubos de ferro
7306;2421;Tubos de aço inox
7307;2421;Acessórios de tubos
7308;2511;Estruturas metálicas
7309;2511;Reservatórios metálicos >300l
7310;2511;Reservatórios <300l
7311;2511;Recipientes para gás comprimido
7312;2511;Fios de ferro farpado
7313;2511;Arame farpado
7314;2511;Telas metálicas
7315;2511;Correntes e elos
7316;2511;Âncoras
7317;2511;Pregos e tachas
7318;2511;Parafusos e porcas
7319;2511;Agulhas de costura
7320;2511;Molas de ferro
7321;2511;Fogões e aquecedores domésticos
7322;2511;Radiadores de ferro
7323;2511;Utensílios de mesa ferro
7324;2511;Artigos de higiene ferro
7325;2511;Outras obras de ferro fundido
7326;2511;Outras obras de ferro
7401;2422;Mates de cobre; anodos
7402;2422;Cobre refinado
7403;2422;Barras de cobre refinado
7404;2422;Desperdício de cobre
7405;2422;Ligas mestre de cobre
7406;2422;Pó de cobre
7407;2422;Barras de ligas de cobre
7408;2422;Fios de cobre
7409;2422;Chapas de cobre
7410;2422;Folhas de cobre
7411;2422;Tubos de cobre
7412;2422;Acessórios de cobre
7413;2422;Artefatos de cobre doméstico
7415;2422;Pregos de cobre
7418;2422;Outras obras de cobre
7419;2422;Outras obras de cobre diversas
7501;2423;Níquel mates
7502;2423;Níquel não ligado
7503;2423;Desperdício de níquel
7504;2423;Pó e flocos de níquel
7505;2423;Barras de níquel
7506;2423;Chapas de níquel
7507;2423;Tubos de níquel
7508;2423;Acessórios de níquel
7509;2423;Outras obras de níquel
7601;2424;Alumínio não ligado
7602;2424;Desperdício de alumínio
7603;2424;Pó de alumínio
7604;2424;Barras de alumínio
7605;2424;Perfis de alumínio
7606;2424;Chapas de alumínio >0,2mm
7607;2424;Folhas de alumínio
7608;2424;Tubos de alumínio
7609;2424;Acessórios de alumínio
7610;2424;Estruturas de alumínio
7611;2424;Reservatórios de alumínio
7612;2424;Recipientes de alumínio <300l
7613;2424;Utensílios de alumínio
7614;2424;Cabos de alumínio
7615;2424;Outras obras de alumínio
7616;2424;Espumas de alumínio
7801;2425;Chumbo refinado
7802;2425;Desperdício de chumbo
7803;2425;Barras de chumbo
7804;2425;Chapas de chumbo
7805;2425;Tubos de chumbo
7806;2425;Chumbo em pó
7901;2426;Zinco não ligado
7902;2426;Desperdício de zinco
7903;2426;Pó de zinco
7904;2426;Barras de zinco
7905;2426;Chapas de zinco
7906;2426;Tubos de zinco
7907;2426;Acessórios de zinco
8001;2427;Estanho não ligado
8002;2427;Desperdício de estanho
8003;2427;Barras de estanho
8004;2427;Chapas de estanho
8005;2427;Tubos de estanho
8006;2427;Pó de estanho
8007;2427;Outras obras de estanho
8101;2428;Tungstênio
8102;2428;Molibdênio
8103;2428;Tântalo
8104;2428;Magnésio
8105;2428;Cobalto mates
8106;2428;Bismuto
8107;2428;Cádmio
8108;2428;Titânio
8109;2428;Zircônio
8110;2428;Antimônio
8111;2428;Manganês
8112;2428;Berílio
8113;2428;Cromo
8201;2543;Pás e alviões
8202;2543;Serras manuais
8203;2543;Limas e alicates
8204;2543;Chaves de fenda
8205;2543;Ferramentas comuns
8206;2543;Ferramentas de duas mãos
8207;2543;Ferramentas intercambiáveis
8208;2543;Facas e lâminas
8209;2543;Placas para moldes
8210;2543;Aparelhos mecânicos manuais
8211;2543;Facas de mesa
8212;2543;Lâminas de barbear
8213;2543;Tesouras
8214;2543;Outros artigos de cutelaria
8215;2543;Colheres e garfos
8301;2543;Cadeados
8302;2543;Guarnições de móveis
8303;2543;Cofres
8304;2543;Classificadores de papel
